difficulty,difficulty_result,seq_length_train,batch_train,num_layers_train,onset_weight_train,enable_beats,precision_micro,recall_micro,f1_micro,precision_chart,recall_chart,f1_chart
'',easy,20480,32,2,64,0,0.9171122994652410,0.7900709219858160,0.814327485380117,0.9167461920765540,0.7979346559341820,0.8173803515635620
'',hard,20480,32,2,64,0,0.9162112932604740,0.6827195467422100,0.7550913838120110,0.9163876758031740,0.6859107537853680,0.7569537186668280
'',expert,20480,32,2,64,0,0.9075738125802310,0.6924198250728860,0.7474429583005510,0.908787922210658,0.6945305297578390,0.7494447995093490
'',expertplus,20480,32,2,64,0,0.9147982062780270,0.6311881188118810,0.7343976777939040,0.9195906432748540,0.6311980136561140,0.7373264781491000
'',all_diff,20480,32,2,64,0,0.9094260136914160,0.688135593220339,0.7530139103554870,0.9124662111126480,0.7107068899600400,0.7657761075598010
'',easy,20480,32,2,64,0,0.8719346049046320,0.8,0.8076639646278560,0.8753214495481740,0.8081446481476930,0.8094076326512720
'',hard,20480,32,2,64,0,0.8920056100981770,0.7025495750708220,0.7641160949868070,0.8951518261547790,0.7040051851520730,0.764875388633244
'',expert,20480,32,2,64,0,0.8905660377358490,0.7346938775510200,0.7616169248205520,0.8932650210623020,0.7358533037055440,0.7625284660890530
'',expertplus,20480,32,2,64,0,0.8924302788844620,0.6905940594059410,0.7560975609756100,0.8999278404618210,0.6885288640595900,0.7562211049251820
'',all_diff,20480,32,2,64,0,0.883530015392509,0.7228813559322030,0.7665119065448560,0.8839918521832900,0.7346434100958550,0.773492951907911
'',easy,20480,32,2,64,0,0.9014423076923080,0.7829787234042550,0.8005952380952380,0.8929028227877330,0.7897239603861570,0.8018303328141030
'',hard,20480,32,2,64,0,0.9183333333333330,0.7176581680830970,0.7607680332122470,0.9188586628865720,0.7175446242943950,0.7610663544330180
'',expert,20480,32,2,64,0,0.9145299145299140,0.7580174927113700,0.7623285131627740,0.9131539078222530,0.7593189148481980,0.7631763691679390
'',expertplus,20480,32,2,64,0,0.9327731092436980,0.7326732673267330,0.7769028871391080,0.9308544303797470,0.7308752327746740,0.7776442054202260
'',all_diff,20480,32,2,64,0,0.91012909632572,0.7463276836158190,0.7665723223596010,0.9060077892467950,0.7512427479496540,0.7711564648408990
'',easy,20480,32,2,64,0,0.8738738738738740,0.7886524822695040,0.8134601316752010,0.8800404659416290,0.7955363252626300,0.8143100116166270
'',hard,20480,32,2,64,0,0.8937583001328020,0.704438149197356,0.766964755391899,0.8981447537023050,0.7052742137307380,0.7687553620970630
'',expert,20480,32,2,64,0,0.8866995073891630,0.749271137026239,0.7668780305856020,0.8875008493767280,0.749747437332674,0.7678520777297120
'',expertplus,20480,32,2,64,0,0.904040404040404,0.6831683168316830,0.7561643835616440,0.9075987841945290,0.6812911235257600,0.7570083425346580
'',all_diff,20480,32,2,64,0,0.8871473354231980,0.7310734463276840,0.7703527310611700,0.8858735988992560,0.7377491408078110,0.7758202066678550
'',easy,20480,32,2,64,0,0.8822495606326890,0.7900709219858160,0.8039364118092360,0.8853241851024560,0.797494173587343,0.8039294672663970
'',hard,20480,32,2,64,0,0.9023066485753050,0.7082152974504250,0.7618080243778570,0.908693207426852,0.7095868341367250,0.7642656161581370
'',expert,20480,32,2,64,0,0.8921875,0.7529154518950440,0.7674591381872210,0.893030754510969,0.7521832968565330,0.7680601346272320
'',expertplus,20480,32,2,64,0,0.885593220338983,0.6856435643564360,0.7568306010928960,0.8918219461697720,0.6857976412166360,0.7587731291586910
'',all_diff,20480,32,2,64,0,0.8837025316455700,0.7274011299435030,0.7701510393300430,0.8899611773971230,0.7324851210809300,0.7751544949944940
'',easy,20480,32,2,64,0,0.8688212927756650,0.7872340425531920,0.7997118155619600,0.8738105984974250,0.7936213758415470,0.8015471587124250
'',hard,20480,32,2,64,0,0.91,0.7016052880075540,0.7643647865050080,0.9122190959413500,0.7017571191482530,0.7665643717196420
'',expert,20480,32,2,64,0,0.8867313915857610,0.7463556851311950,0.7576766555678880,0.8904507232579470,0.7475506524423690,0.7601614295954370
'',expertplus,20480,32,2,64,0,0.8918918918918920,0.7079207920792080,0.7657295850066930,0.8960965553930050,0.7069397889509620,0.7658583856724420
'',all_diff,20480,32,2,64,0,0.8884245716673630,0.7237288135593220,0.762613484149427,0.8913078516750600,0.7268036391215880,0.7694059412184940
'',easy,20480,32,2,64,0,0.890625,0.7815602836879430,0.808351976137211,0.9035960126395230,0.7893863709613940,0.8100416744984730
'',hard,20480,32,2,64,0,0.910091743119266,0.71671388101983,0.763538873994638,0.9128196193649360,0.7169096941830030,0.7646734194948730
'',expert,20480,32,2,64,0,0.9236111111111110,0.7740524781341110,0.763205174272368,0.92316178606094,0.7739293207332870,0.7667125714933230
'',expertplus,20480,32,2,64,0,0.9261363636363640,0.7153465346534650,0.7635402906208720,0.9271052631578950,0.7164618249534450,0.7663047335178480
'',all_diff,20480,32,2,64,0,0.9136854060193070,0.7463276836158190,0.7649102489866820,0.9140620220928060,0.7497587951814460,0.7703955812358680
'',easy,20480,32,2,64,0,0.8881720430107530,0.7858156028368800,0.7982708933717580,0.8874832624190310,0.7929460056022240,0.8012774607363440
'',hard,20480,32,2,64,0,0.8958944281524930,0.704438149197356,0.758130081300813,0.901044762834886,0.7074144499599300,0.7602359233637110
'',expert,20480,32,2,64,0,0.8723404255319150,0.750728862973761,0.756420233463035,0.8787655337841310,0.7508143224597850,0.7584169293131490
'',expertplus,20480,32,2,64,0,0.8879668049792530,0.6955445544554460,0.7615176151761520,0.8924389899844830,0.6981129733085040,0.7640243902439030
'',all_diff,20480,32,2,64,0,0.8813486982501070,0.7265536723163840,0.7577525330058340,0.8880000434256460,0.7343786612379790,0.765265677907891
'',easy,20480,32,2,64,0,0.892933618843683,0.7602836879432620,0.7937219730941700,0.8932609970584070,0.7667820888497000,0.7953276460819420
'',hard,20480,32,2,64,0,0.9082426127527220,0.7176581680830970,0.7554671968190860,0.912962589559072,0.7201902760776630,0.7577243216138970
'',expert,20480,32,2,64,0,0.8969555035128810,0.7580174927113700,0.7555394115510350,0.9016486872199680,0.7591683576456510,0.7582757342984350
'',expertplus,20480,32,2,64,0,0.896414342629482,0.7178217821782180,0.7712765957446810,0.9036303630363040,0.7186840471756670,0.7730863133706740
'',all_diff,20480,32,2,64,0,0.8977533241632280,0.7409604519774010,0.7640547625983110,0.9017938705787190,0.7455938996151900,0.769229679989808
'',easy,20480,32,2,64,0,0.8804159445407280,0.7702127659574470,0.8044444444444440,0.8857353450027620,0.7785886484360000,0.8045902866858920
'',hard,20480,32,2,64,0,0.8955026455026460,0.6968838526912180,0.7556270096463020,0.9031797310228580,0.6992787350862640,0.7560827351772520
'',expert,20480,32,2,64,0,0.8695652173913040,0.7186588921282800,0.7437572032270460,0.8744860541383640,0.7203678382746590,0.7458307409522370
'',expertplus,20480,32,2,64,0,0.9008620689655170,0.6955445544554460,0.7658402203856750,0.9079907798693820,0.695828677839851,0.7677709057019400
'',all_diff,20480,32,2,64,0,0.8798893717898060,0.7096045197740110,0.7509101941747570,0.8845141848500640,0.7158173419626200,0.758631055192728
'',easy,20480,32,2,64,0,0.9122340425531920,0.7900709219858160,0.809593023255814,0.9109479506442750,0.7979346559341820,0.8126665076081280
'',hard,20480,32,2,64,0,0.9097472924187730,0.6827195467422100,0.7515592515592520,0.9099258011237040,0.6859107537853680,0.7533693807989720
'',expert,20480,32,2,64,0,0.8982188295165390,0.6916909620991250,0.7454831107619800,0.8986878481309330,0.6936971964245050,0.7473752349904940
'',expertplus,20480,32,2,64,0,0.9072847682119200,0.6287128712871290,0.7351664254703330,0.9110628177792360,0.6301179391682190,0.7381211801358550
'',easy,20480,32,2,64,0,0.8694915254237290,0.8,0.8082595870206490,0.8745533424346310,0.8081446481476930,0.8099604242488400
'',hard,20480,32,2,64,0,0.8857938718662950,0.7025495750708220,0.7633104902477600,0.8889605657525430,0.7040051851520730,0.7642194805907200
'',expert,20480,32,2,64,0,0.8838951310861420,0.7346938775510200,0.7596081386586290,0.8861496438485900,0.7358533037055440,0.76048215099841
'',expertplus,20480,32,2,64,0,0.8853754940711460,0.693069306930693,0.7557354925775980,0.8925206504904490,0.6907510862818130,0.7556090815825860
'',easy,20480,32,2,64,0,0.9014423076923080,0.7829787234042550,0.7982456140350880,0.8929028227877330,0.7897239603861570,0.799975412182016
'',hard,20480,32,2,64,0,0.9168053244592350,0.7176581680830970,0.7577766445690970,0.9188586628865720,0.7175446242943950,0.7585605609840950
'',expert,20480,32,2,64,0,0.9143468950749460,0.7580174927113700,0.7609178386380460,0.9129970450771540,0.7593189148481980,0.761580776091581
'',expertplus,20480,32,2,64,0,0.9327731092436980,0.7326732673267330,0.7769028871391080,0.9308544303797470,0.7308752327746740,0.7776442054202260
'',easy,20480,32,2,64,0,0.8738738738738740,0.7886524822695040,0.8093158660844250,0.8800404659416290,0.7955363252626300,0.810274579179926
'',hard,20480,32,2,64,0,0.8850174216027870,0.7053824362606230,0.7641509433962270,0.8886235085488150,0.7061437789481290,0.7659916108258150
'',expert,20480,32,2,64,0,0.8812729498164020,0.749271137026239,0.7648809523809520,0.8812083873636130,0.749747437332674,0.7658042006086020
'',expertplus,20480,32,2,64,0,0.8951612903225810,0.6831683168316830,0.7540983606557380,0.9000797236247680,0.6812911235257600,0.7548933639351260
'',easy,20480,32,2,64,0,0.8822495606326890,0.7900709219858160,0.8039364118092350,0.8853241851024560,0.797494173587343,0.803715520754662
'',hard,20480,32,2,64,0,0.8998646820027060,0.7082152974504250,0.7587253414264040,0.9063115884858830,0.7095868341367250,0.761263629538549
'',expert,20480,32,2,64,0,0.8923556942277690,0.7529154518950440,0.7674591381872210,0.8931991046793190,0.7521832968565330,0.7680601346272320
'',expertplus,20480,32,2,64,0,0.8848920863309350,0.6856435643564360,0.7568306010928960,0.8886554621848740,0.6857976412166360,0.758773129158691
'',easy,20480,32,2,64,0,0.8704761904761910,0.7872340425531920,0.7951289398280800,0.8758308005176280,0.7936213758415470,0.7970366705426420
'',hard,20480,32,2,64,0,0.9085714285714290,0.7016052880075540,0.7607555089192020,0.9107943938828450,0.7017571191482530,0.7629096077370330
'',expert,20480,32,2,64,0,0.8858988159311090,0.7463556851311950,0.755719557195572,0.8895800457118190,0.7475506524423690,0.7581581690078240
'',expertplus,20480,32,2,64,0,0.8918918918918920,0.7079207920792080,0.7636849132176240,0.8950039032006250,0.7069397889509620,0.7637795846196210
'',easy,20480,32,2,64,0,0.890625,0.7829787234042550,0.8074626865671640,0.9035960126395230,0.7905628415496300,0.8092258236826230
'',hard,20480,32,2,64,0,0.9052823315118400,0.7176581680830970,0.7606837606837610,0.9079875609714970,0.7177792594003940,0.7618606024278830
'',expert,20480,32,2,64,0,0.9185082872928180,0.7740524781341110,0.7629310344827590,0.9177728173271150,0.7739293207332870,0.7663774042258850
'',expertplus,20480,32,2,64,0,0.9157303370786520,0.7153465346534650,0.762532981530343,0.9164845055934160,0.7164618249534450,0.7651145842914450
'',easy,20480,32,2,64,0,0.8881720430107530,0.7858156028368800,0.7965970610982210,0.8874832624190310,0.7929460056022240,0.797943496500156
'',hard,20480,32,2,64,0,0.8958944281524930,0.7053824362606230,0.7553083923154700,0.901044762834886,0.7082840151773220,0.7574308434438400
'',expert,20480,32,2,64,0,0.8704883227176220,0.750728862973761,0.7560217560217560,0.8767732757770280,0.7508143224597850,0.7580806357255820
'',expertplus,20480,32,2,64,0,0.8806584362139920,0.6955445544554460,0.7594594594594600,0.8848821081830790,0.6981129733085040,0.7619269481359870
'',easy,20480,32,2,64,0,0.8853503184713380,0.7602836879432620,0.7937219730941710,0.8855438672868320,0.7667820888497000,0.7953276460819420
'',hard,20480,32,2,64,0,0.8998459167950690,0.71671388101983,0.7548483341621080,0.904475943935618,0.719297418934806,0.7570234425452340
'',expert,20480,32,2,64,0,0.888631090487239,0.7580174927113700,0.7555394115510350,0.8930781048758970,0.7591683576456510,0.7582757342984350
'',expertplus,20480,32,2,64,0,0.8893280632411070,0.7178217821782180,0.7702523240371850,0.8961498506687440,0.7186840471756670,0.7718961641442710
'',easy,20480,32,2,64,0,0.8791018998272890,0.7702127659574470,0.800294767870302,0.8844441373819610,0.7785886484360000,0.8005655664151670
'',hard,20480,32,2,64,0,0.887434554973822,0.6978281397544850,0.7541510444563470,0.8945891639467560,0.7000348036612640,0.7545986906379560
'',expert,20480,32,2,64,0,0.8633093525179860,0.7186588921282800,0.7426160337552740,0.8679301476288820,0.7203678382746590,0.7447251732362810
'',expertplus,20480,32,2,64,0,0.8931623931623930,0.6955445544554460,0.765432098765432,0.8999094202898550,0.695828677839851,0.7671531173594130
