difficulty_result,seq_length_train,batch_train,num_layers_train,onset_weight_train,maxpool_timescale_train,precision_micro,recall_micro,f1_micro,precision_chart,recall_chart,f1_chart,difficulty_mode
easy,20480,32,2,64,9152,0.8909090909090910,0.8865248226950350,0.8607954545454550,0.8981160881921630,0.8879668128916420,0.8605918647959140,beginner
hard,20480,32,2,64,9152,0.8940027894002790,0.7922568460812090,0.7837969741337240,0.8950464315867990,0.7931321302723480,0.7846999955008470,intermediate
expert,20480,32,2,64,9152,0.8707926167209560,0.8338192419825070,0.7780203784570600,0.873488169921098,0.8319521448503250,0.778685740839833,advanced
expertplus,20480,32,2,64,9152,0.8438438438438440,0.7970297029702970,0.8020050125313280,0.8671936242487590,0.7983612662942270,0.8040467300975550,expert
all_diff,20480,32,2,64,9152,0.8784665579119090,0.827683615819209,0.7971326164874550,0.8875279420468160,0.8352260441478630,0.8066504194619260,all_diff
easy,20480,32,2,64,5440,0.9069400630914830,0.8794326241134750,0.8668138337012510,0.90868873080752,0.8808159324033140,0.8652294543852440,beginner
hard,20480,32,2,64,5440,0.8602029312288610,0.8092540132200190,0.7915620291310900,0.8695455784911800,0.8101223828060600,0.7907339977112940,intermediate
expert,20480,32,2,64,5440,0.8223748773307160,0.8243440233236150,0.7814476458186930,0.831348052761364,0.8237944335945390,0.7829292661390270,advanced
expertplus,20480,32,2,64,5440,0.8576051779935280,0.7995049504950500,0.7930607187112760,0.8795642201834860,0.8000124146492860,0.7933855083967950,expert
all_diff,20480,32,2,64,5440,0.8533071381794370,0.8279661016949150,0.7954275534441810,0.870467251905238,0.8358547599168030,0.8054954041117190,all_diff
easy,20480,32,2,64,704,0.9265442404006680,0.8581560283687940,0.8603268945022290,0.9303271421879100,0.8588725841113070,0.8574276806503680,beginner
hard,20480,32,2,64,704,0.9061696658097690,0.7790368271954670,0.7842205323193920,0.9096599764677380,0.7788145901381800,0.7851921573584340,intermediate
expert,20480,32,2,64,704,0.8636796949475690,0.7981049562682220,0.7720388349514560,0.871625217435802,0.7976147932657650,0.7736641532887200,advanced
expertplus,20480,32,2,64,704,0.8722044728434510,0.7896039603960400,0.7935323383084580,0.8910658307210030,0.7934078212290500,0.796525930330819,expert
all_diff,20480,32,2,64,704,0.8871681415929200,0.8002824858757060,0.7887002425452990,0.8984626155070750,0.8084604690781590,0.7994864985010590,all_diff
easy,20480,32,2,64,4160,0.903846153846154,0.8680851063829790,0.8651026392961880,0.9082897264981550,0.8688237509991720,0.8627232570922370,beginner
hard,20480,32,2,64,4160,0.9227202472952090,0.785646836638338,0.7809132888660850,0.9229552221425290,0.7865059840403650,0.7791908992483570,intermediate
expert,20480,32,2,64,4160,0.8806818181818180,0.826530612244898,0.7803402646502840,0.8837247431147590,0.8241801578997050,0.7786931900475630,advanced
expertplus,20480,32,2,64,4160,0.8461538461538460,0.8193069306930690,0.7917737789203090,0.8619652406417110,0.8217877094972070,0.794088524941126,expert
all_diff,20480,32,2,64,4160,0.8907672301690510,0.8169491525423730,0.7943967464979670,0.9006422173386770,0.823383464758907,0.8022592790374510,all_diff
