difficulty,difficulty_result,seq_length_train,batch_train,num_layers_train,onset_weight_train,enable_beats,precision_micro,recall_micro,f1_micro,precision_chart,recall_chart,f1_chart
'',easy,20480,32,2,64,1,0.9363957597173140,0.8524822695035460,0.8638704930095660,0.940031375461298,0.8541183325180690,0.862673459357754
'',hard,20480,32,2,64,1,0.9431818181818180,0.7582625118035880,0.7924141465914920,0.9443111810488570,0.7588955955110690,0.7926976412024120
'',expert,20480,32,2,64,1,0.9216335540838850,0.760932944606414,0.7896930655551350,0.9267292756785940,0.760106666687124,0.7881791401776680
'',expertplus,20480,32,2,64,1,0.9032258064516130,0.7425742574257430,0.7782101167315180,0.9087784049790130,0.7431905648665420,0.7790083884607520
'',all_diff,20480,32,2,64,1,0.9284828441504750,0.7694915254237290,0.8014121800529570,0.935174978631354,0.7834835570864950,0.8100233936905420
'',easy,20480,32,2,64,1,0.9549718574108820,0.8567375886524820,0.8633720930232560,0.9599163276870980,0.8577493852387120,0.8617250545697900
'',hard,20480,32,2,64,1,0.9534206695778750,0.7648725212464590,0.7951070336391440,0.9575745044021660,0.7635550053050470,0.7941195009696440
'',expert,20480,32,2,64,1,0.923340961098398,0.7966472303207000,0.7882136279926340,0.9256689459900350,0.7967471788151410,0.7874558860178160
'',expertplus,20480,32,2,64,1,0.9098360655737700,0.7945544554455450,0.7906403940886700,0.9147517730496450,0.7967101179391680,0.7914988814317670
'',all_diff,20480,32,2,64,1,0.9375,0.7844632768361580,0.8022533583706490,0.9453245088457570,0.7950691386980440,0.809801714644508
'',easy,20480,32,2,64,1,0.969574036511156,0.873758865248227,0.8645533141210370,0.973916194872104,0.8747378985463770,0.8633761655639850
'',hard,20480,32,2,64,1,0.9656786271450860,0.7648725212464590,0.7983706720977600,0.9664352845235780,0.7648680099831950,0.7978880105266210
'',expert,20480,32,2,64,1,0.9442379182156130,0.7864431486880470,0.787201233616037,0.9482733942229060,0.7861197813575810,0.7859116173726220
'',expertplus,20480,32,2,64,1,0.9292929292929290,0.7574257425742570,0.7836107554417410,0.9338972431077690,0.7605214152700190,0.7851835664335670
'',all_diff,20480,32,2,64,1,0.9551192145862550,0.7790960451977400,0.8014462187405850,0.9610638507000440,0.7954264164794950,0.8107728404448820
'',easy,20480,32,2,64,1,0.9479553903345720,0.8524822695035460,0.8647866955892990,0.9527978324506050,0.8533725540000950,0.862768496420256
'',hard,20480,32,2,64,1,0.9478260869565220,0.7601510859301230,0.7974244675581970,0.9513166687872470,0.7597108147640410,0.796542560673647
'',expert,20480,32,2,64,1,0.925840092699884,0.7704081632653060,0.7888931152529480,0.9280614755279060,0.7692093548194570,0.7884490198628140
'',expertplus,20480,32,2,64,1,0.9120370370370370,0.75,0.7749360613810740,0.9168303220738410,0.751570453134699,0.7764218755175730
