difficulty,difficulty_result,seq_length_train,batch_train,num_layers_train,onset_weight_train,enable_beats,precision_micro,recall_micro,f1_micro,precision_chart,recall_chart,f1_chart
10,easy,20480,32,2,64,1,0.9392857142857140,0.875177304964539,0.8675595238095240,0.9432303781476120,0.875732249198171,0.8652357087327690
10,hard,20480,32,2,64,1,0.9804964539007090,0.660056657223796,0.7624309392265190,0.9809435094111230,0.660846910716803,0.7607408649509990
10,expert,20480,32,2,64,1,0.9817767653758540,0.5830903790087460,0.700832238282961,0.9808331618899910,0.5826667172591150,0.6970730699540910
10,expertplus,20480,32,2,64,1,0.9866666666666670,0.5321782178217820,0.6554878048780490,0.9888888888888890,0.525747982619491,0.649969362745098
10,all_diff,20480,32,2,64,1,0.9614130434782610,0.6497175141242940,0.7439754164644990,0.9631153463511240,0.6811556442790960,0.7558707373294110
10,easy,20480,32,2,64,1,0.9426987060998150,0.851063829787234,0.8556851311953350,0.9436980177715180,0.8513003633137740,0.8530661264487070
10,hard,20480,32,2,64,1,0.9921104536489150,0.6619452313503310,0.7549889135254990,0.9904980842911880,0.6627279418843380,0.7536800702857110
10,expert,20480,32,2,64,1,0.9878419452887540,0.5626822157434400,0.6850044365572320,0.986111111111111,0.5641549778776720,0.6810987616641150
10,expertplus,20480,32,2,64,1,1.0,0.4801980198019800,0.6198083067092650,1.0,0.4733705772811920,0.6122920275022310
10,all_diff,20480,32,2,64,1,0.9727030625832220,0.6384180790960450,0.7337662337662340,0.9750960041168180,0.6760383903057710,0.7476952546076270
10,easy,20480,32,2,64,1,0.9459962756052140,0.8468085106382980,0.8565279770444760,0.9494755493425580,0.8480542320759830,0.85383593550647
10,hard,20480,32,2,64,1,0.982824427480916,0.6591123701605290,0.7611777535441660,0.9834061444995290,0.6595544578327300,0.7605934758700220
10,expert,20480,32,2,64,1,0.9861111111111110,0.5502915451895040,0.6811005863779880,0.9871376811594200,0.5532707584777060,0.6799908828299060
10,expertplus,20480,32,2,64,1,1.0,0.4777227722772280,0.6266233766233770,1.0,0.4797144630664180,0.6289110854996370
10,all_diff,20480,32,2,64,1,0.9710796915167100,0.6279661016949150,0.734390485629336,0.9741131975451140,0.6666896239299230,0.7497342487345880
10,easy,20480,32,2,64,1,0.9292196007259530,0.8482269503546100,0.859714928732183,0.9315461826969410,0.8488410772250890,0.8572728135550370
10,hard,20480,32,2,64,1,0.9899598393574300,0.6496694995278570,0.7494553376906320,0.9904738632848750,0.6524613736468410,0.7492345558808300
10,expert,20480,32,2,64,1,1.0,0.489067055393586,0.6384395813510940,1.0,0.4910324263819150,0.6358804996446140
10,expertplus,20480,32,2,64,1,1.0,0.3787128712871290,0.5415929203539820,1.0,0.3771198013656110,0.5403061224489800
10,all_diff,20480,32,2,64,1,0.96617050067659,0.5887005649717510,0.7115056333219530,0.9711011660892190,0.6374869512550920,0.7291365226712640
10,easy,20480,32,2,64,1,0.9375,0.8468085106382980,0.8534296028880870,0.941039201341944,0.8481132060988080,0.8514004462393230
10,hard,20480,32,2,64,1,0.9824868651488620,0.6525023607176580,0.7589236683141130,0.9829338708670890,0.6546903018706970,0.7591868871004250
10,expert,20480,32,2,64,1,0.9881305637982200,0.5240524781341110,0.6614535418583260,0.9849002849002850,0.5268369558949630,0.6606836120696830
10,expertplus,20480,32,2,64,1,1.0,0.4504950495049510,0.5996705107084020,1.0,0.4501303538175050,0.6001324064879180
10,all_diff,20480,32,2,64,1,0.964699074074074,0.6127118644067800,0.726146635420154,0.9668052833210980,0.6543332114457330,0.7438007547980640
10,easy,20480,32,2,64,1,0.94010889292196,0.8553191489361700,0.8528752800597460,0.9427129402025640,0.8556974113569670,0.8511785962885850
10,hard,20480,32,2,64,1,0.9903474903474900,0.6666666666666670,0.7554842161583740,0.9913210108604840,0.6689323676601440,0.7560397897939470
10,expert,20480,32,2,64,1,0.9868852459016390,0.5335276967930030,0.6556202418271380,0.9875747814081920,0.5336420503947730,0.6525993438189530
10,expertplus,20480,32,2,64,1,1.0,0.4381188118811880,0.59,1.0,0.4338795779019240,0.5854832848837210
